what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.linkWithEditor",1283740810859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740818407
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740848168
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1283740858079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740882148
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740884407
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1283740903225
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740918767
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1283740922529
executed,command,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.addTaskRepository",1283740948707
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1283740953152
started,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1283740953154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740956596
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1283740956637
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1283740980901
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1283740980957
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1283740982278
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1283740982391
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1283740988175
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740990749
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283740993618
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1283740993629
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1283741000173
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741004665
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741006149
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1283741006160
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1283741010344
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283741010452
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1283741010528
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1283741012705
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283741012916
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283741012985
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283741022356
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741038832
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741051170
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741054348
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741092372
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741095069
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741097996
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1283741098017
activated,perspective,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1283741099789
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283741099811
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1283741101367
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741110779
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741113039
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1283741113045
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1283741113045
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.synchronize",1283741135348
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741135727
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741137311
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.synchronize",1283741143500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741143774
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741145232
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.synchronize",1283741150975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741151353
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741152912
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741169708
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741212846
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1283741212975
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283741212994
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741246943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741248287
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283741248559
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1283741249095
